Price,Close,High,Low,Open,Volume,Ticker,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,Signal_Line,MA20,20DaySTD,Upper_Band,Lower_Band,Momentum
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-09-03,12.977522850036621,13.843986724990549,12.841171644805272,13.788399501378418,945128000,NVDA,13.4999568939209,13.085038471221925,13.381286483539588,13.075966349650884,65.14555002485442,0.7446171318930919,0.6754212874557257,12.350729703903198,0.9228933235818818,14.196516351066961,10.504943056739435,0.38988685607910156
2020-09-04,12.585670471191406,13.136558157746384,11.670597925820415,12.746449138943373,1463684000,NVDA,13.39599781036377,13.079334735870361,13.116081146090195,12.986821644476432,53.26881485309957,0.6604567451087178,0.6724283789863241,12.421839046478272,0.8804132634631039,14.18266557340448,10.661012519552065,-0.5197954177856445
2020-09-08,11.878239631652832,12.51338103804786,11.670098963293693,11.700260294828636,795728000,NVDA,13.105348587036133,12.999224662780762,12.703467307944408,12.785261278508504,46.59777722093976,0.5305593181764738,0.6440545668243541,12.459296321868896,0.8374042824910265,14.134104886850949,10.784487756886843,-1.4532461166381836
2020-09-09,12.677898406982422,12.771873116257286,12.19605789055686,12.363817029003448,736200000,NVDA,12.88479404449463,12.996114921569824,12.694944340957079,12.765740756412852,55.056447094975,0.48653201341908314,0.6125500561432999,12.552435970306396,0.7432006190125946,14.038837208331586,11.066034732281206,-1.1027727127075195
2020-09-10,12.275827407836914,13.027128843860567,12.13149916342981,12.951350382295354,698684000,NVDA,12.479031753540038,12.950505638122559,12.555238696583691,12.676665602126317,51.42068165985273,0.4144191221426361,0.5729238693431672,12.596054363250733,0.6963404429720372,13.988735249194807,11.203373477306659,-2.028811454772949
2020-09-11,12.129006385803223,12.615582404816298,11.861040360382365,12.449069863720515,636928000,NVDA,12.30932846069336,12.904642677307129,12.413161259656869,12.577091199158481,45.51387681780376,0.3414854748305647,0.5266361904406467,12.632194709777831,0.6484461936888053,13.929087097155442,11.33530232240022,-0.8485164642333984
2020-09-14,12.83469009399414,13.276148185663597,12.594394075811492,13.042831711985079,1201744000,NVDA,12.359132385253906,12.877565097808837,12.553670871102629,12.623927361855873,51.21471352113258,0.336746013061914,0.48865815496490017,12.6975887298584,0.5948360075986473,13.887260745055693,11.507916714661105,0.24901962280273438
2020-09-15,12.953093528747559,13.259945289075963,12.79031990895631,13.24124980982187,727556000,NVDA,12.574103164672852,12.839725875854493,12.686811756984273,12.68377575583618,51.882526177059496,0.3386404863794912,0.4586546212478184,12.730377244949342,0.5896625322908062,13.909702309530953,11.55105218036773,1.0748538970947266
2020-09-16,12.477983474731445,13.054546124538994,12.47723607394946,12.919441547050237,556384000,NVDA,12.534120178222656,12.709457111358642,12.617202329566666,12.6463589774535,48.16927998719628,0.2983650923748318,0.42659671547322114,12.743210411071777,0.5807257630876349,13.904661937247047,11.581758884896507,-0.19991493225097656
2020-09-17,12.427133560180664,12.553015449497009,11.999634544799727,12.096849903540244,792512000,NVDA,12.564381408691407,12.521706581115723,12.553846073104667,12.60649981067662,48.82707954571002,0.25935372106940946,0.3931481165924588,12.759594058990478,0.5660448237188169,13.891683706428111,11.627504411552845,0.15130615234375
2020-09-18,12.15368366241455,12.59564003138331,11.953769154171695,12.557003402123641,698460000,NVDA,12.569316864013672,12.439322662353515,12.420458602874628,12.524169601901697,42.78692751125648,0.20401999135225957,0.355322491544419,12.76218056678772,0.5629915685367419,13.888163703861203,11.636197429714237,0.024677276611328125
2020-09-21,12.48072624206543,12.48596090038017,11.869764119068916,11.890204485124078,721044000,NVDA,12.49852409362793,12.428828239440918,12.44054781593823,12.516270809204194,43.64976203651603,0.18443120671579116,0.3211442345786934,12.75408148765564,0.5659580381402013,13.885997563936042,11.622165411375237,-0.35396385192871094
2020-09-22,12.600872993469238,12.611093175477928,12.1200309263643,12.538306233531788,646452000,NVDA,12.428079986572266,12.501091575622558,12.4939895417819,12.53165302452511,40.73884258068558,0.17656644442922342,0.2922286765487994,12.75015811920166,0.5667748215390921,13.883707762279846,11.616608476123476,-0.3522205352783203
2020-09-23,12.088373184204102,12.689863430288543,12.044003634137948,12.538804800522588,647012000,NVDA,12.350157928466796,12.442139053344727,12.358784089255968,12.45105668992129,32.57142016466278,0.12750926475416158,0.2592847941898718,12.719126987457276,0.5858168660657734,13.890760719588823,11.54749325532573,-0.38961029052734375
2020-09-24,12.311966896057129,12.532820932852077,11.978941906035281,12.037022352808018,731240000,NVDA,12.32712459564209,12.445753002166748,12.34317835818969,12.425767636491443,43.666937563208776,0.10545759085736961,0.22851935352337138,12.698129320144654,0.5928186126589691,13.883766545462592,11.512492094826715,-0.11516666412353516
2020-09-25,12.836186408996582,12.845908325364043,12.210019494133983,12.411180625544045,588016000,NVDA,12.463625144958495,12.516471004486084,12.507514375125321,12.500389231492377,52.32519787850289,0.1287969232712065,0.2085748674729384,12.710556840896606,0.5929855932390707,13.896528027374748,11.524585654418464,0.6825027465820312
2020-09-28,12.996965408325195,13.013666868711299,12.712797153507108,13.002200066684653,573808000,NVDA,12.56687297821045,12.53269853591919,12.67066471952528,12.590675809098343,61.55629850372666,0.15844062897468802,0.19854801977328834,12.705131816864014,0.5896695977417921,13.884471012347598,11.52579262138043,0.5162391662597656
2020-09-29,13.187159538269043,13.403526377731259,12.895513458671179,12.899750631913115,621460000,NVDA,12.68413028717041,12.556105136871338,12.842829659106535,12.699127396220288,56.01840506506418,0.19503234461852337,0.19784488474233536,12.697915506362914,0.582439715857822,13.862794938078558,11.53303607464727,0.5862865447998047
2020-09-30,13.491021156311035,13.582752726579443,13.111880671502549,13.1191093501162,689184000,NVDA,12.964659881591796,12.657408905029296,13.058893491508035,12.84310807987315,64.70233668666785,0.24571815011355547,0.2074195378165794,12.683433008193969,0.5571518940717222,13.797736796337414,11.569129220050524,1.4026479721069336
2020-10-01,13.574776649475098,13.722593723676805,13.421474831630729,13.717858282737058,525004000,NVDA,13.21722183227539,12.772173213958741,13.230854544163723,12.976138728891685,67.76309651091618,0.28931039432801064,0.22379770911886565,12.646939897537232,0.4609770259281839,13.5688939493936,11.724985845680864,1.2628097534179688
2020-10-02,13.024133682250977,13.480049040890174,13.012916015984342,13.186409011097183,552496000,NVDA,13.25481128692627,12.859218215942382,13.161947590192808,12.98486508404792,52.41973715096673,0.276240942759312,0.23428635584695492,12.64927043914795,0.46285032163402895,13.574971082416008,11.723569795879891,0.18794727325439453
2020-10-05,13.602692604064941,13.604437490149598,13.184167175563138,13.197378863443367,479820000,NVDA,13.375956726074218,12.971414852142335,13.308862594816853,13.09719736041465,57.42449112111729,0.3090061474839896,0.24923031417436187,12.700121545791626,0.5090564104916877,13.718234366775002,11.68200872480825,0.6057271957397461
2020-10-06,13.696417808532715,14.10073500363203,13.625126614622628,13.789645120142664,784420000,NVDA,13.477808380126953,13.080969333648682,13.438047666055475,13.206146532799751,65.25590838012855,0.33863210883569295,0.2671106731066281,12.79103045463562,0.5168455903189251,13.824721635273471,11.75733927399777,0.5092582702636719
2020-10-07,13.92325496673584,14.07805251907267,13.823048103619962,13.958901041754581,418084000,NVDA,13.564255142211914,13.264457511901856,13.599783432948932,13.336529884424493,67.9420883679875,0.3760795486250501,0.2889044482103125,12.85329828262329,0.5743209151482878,14.001940112919867,11.704656452326715,0.4322338104248047
2020-10-08,13.798370361328125,14.043403723419214,13.717856465318311,14.033930941011219,378900000,NVDA,13.60897388458252,13.413097858428955,13.665979075741998,13.420500880225154,70.45252986539194,0.39117059932634923,0.3093576784335199,12.92942543029785,0.594307537276885,14.11804050485162,11.740810355744081,0.22359371185302734
2020-10-09,13.7225923538208,13.78391345519388,13.620890687212187,13.726830477949628,346892000,NVDA,13.748665618896485,13.501738452911377,13.684850168434933,13.475426602697087,66.47265848747963,0.392491318230471,0.32598440639291015,13.00910472869873,0.5881413560095473,14.185387440717825,11.832822016679636,0.6984586715698242
2020-10-12,14.184490203857422,14.305137430572008,13.871905504040015,13.948680493281143,434744000,NVDA,13.86502513885498,13.6204909324646,13.851396846909097,13.604347257453512,69.2596617435258,0.42589978611291457,0.34596748233691105,13.076594734191895,0.6420488328661844,14.360692399924265,11.792497068459525,0.5817975997924805
